,Shutter 0,Gain 0,Mean Foreground Illumination 0,Mean BackGround Illumination 0,Contrast 0,Mean 0,Feature Luminance 0,Shutter 1,Gain 1,Mean Foreground Illumination 1,Mean BackGround Illumination 1,Contrast 1,Mean 1,Feature Luminance 1,FileLocation,NumMatches
0,520.0,16.0,103.72135684860969,94.36598553502962,245.0,96.73162760416668,106.76246719160105,466.0,16.0,94.26323377960865,103.25949372603694,245.0,100.98465820312501,106.29763779527559,csail03-08-15_0/,199
0,520.0,16.0,69.93833676622039,72.67279975601255,241.0,71.98135091145834,82.789041095890411,120.0,16.0,23.326943872296603,26.59171314046706,246.0,25.766168619791667,54.263157894736842,csail03-08-15_0/,27
0,520.0,16.0,110.17978887744593,96.95162948762635,243.0,100.29656250000001,120.49448934606907,488.0,16.0,95.32510298661174,76.2034942488672,243.0,81.038671875,116.77469387755102,csail03-08-15_0/,269
0,509.0,16.0,104.00059217301751,147.9495555942837,241.0,136.83641927083335,145.81914893617022,77.0,16.0,27.515164778578786,33.82385413035901,211.0,32.22861002604167,70.989436619718305,csail03-08-15_0/,96
0,239.0,16.0,168.33980432543768,176.34305071453468,239.0,174.31931315104168,146.55492730210017,250.0,16.0,138.2353630278064,176.39638811432553,239.0,166.74681640625002,144.07910014513789,csail03-08-15_0/,363
0,509.0,16.0,140.80494335736356,137.35829121645173,232.0,138.22982747395835,142.14598249801114,509.0,16.0,138.85276776519052,137.73292087835483,223.0,138.01609049479168,139.34262373858721,csail03-08-15_0/,471
0,250.0,16.0,194.61866632337797,179.3245250958522,203.0,183.19187174479168,164.65044510385758,33.0,16.0,33.82570803295572,42.257968804461484,125.0,40.12574869791667,52.522058823529413,csail03-08-15_0/,172
0,185.0,16.0,162.76519052523173,175.08626699198325,228.0,171.970703125,187.58686949559649,196.0,16.0,185.14561019567458,186.3283591843848,225.0,186.0292838541667,197.36294416243655,csail03-08-15_0/,150
0,466.0,16.0,198.9223352214212,148.39980829557337,237.0,161.17516601562502,162.19544697390339,23.0,16.0,19.38392121524202,18.047756186824678,203.0,18.385625,38.760869565217391,csail03-08-15_0/,116
0,466.0,16.0,115.87914521112256,141.35795573370513,241.0,134.91526692708334,163.73823529411766,477.0,16.0,87.76016992790937,131.0119945974207,241.0,120.07513997395834,138.45991019884542,csail03-08-15_0/,110
0,66.0,16.0,187.66692842430484,150.49061084001394,225.0,159.89118489583333,181.2262585812357,66.0,16.0,128.3722966014418,119.66217758800975,234.0,121.864658203125,174.59964093357272,csail03-08-15_0/,291
0,304.0,16.0,168.90242018537592,151.50721505751133,233.0,155.90584635416667,168.23217726396916,282.0,16.0,163.40634654994852,145.5695538515162,230.0,150.07984700520834,178.49548069022185,csail03-08-15_0/,99
0,520.0,16.0,131.02506436663234,113.81573719065877,242.0,118.16736653645835,143.52795762213066,499.0,16.0,164.7326596292482,135.48408417567097,235.0,142.88001302083333,156.46953781512605,csail03-08-15_0/,199
0,466.0,16.0,114.001982492276,166.74898048100383,242.0,153.4111328125,143.67710280373831,423.0,16.0,124.96189495365603,164.3075984663646,241.0,154.35846354166668,148.00806069227121,csail03-08-15_0/,552
0,520.0,16.0,109.78989443872297,108.57532676890902,242.0,108.88244791666668,106.06666666666666,477.0,16.0,94.67520597322348,115.66920529801324,243.0,110.36056640625,114.99757673667204,csail03-08-15_0/,236
0,390.0,16.0,151.0114315139032,147.8831648658069,242.0,148.67419270833335,142.91823529411764,380.0,16.0,160.27940267765192,128.9775880097595,244.0,136.89270833333333,132.32539682539684,csail03-08-15_0/,513
0,228.0,16.0,197.72740731204945,173.1532197629836,231.0,179.36716145833336,158.46363061353574,217.0,16.0,181.3415808444902,158.2688785291042,231.0,164.10314778645835,143.63197424892704,csail03-08-15_0/,422
0,444.0,16.0,164.91180484037076,159.69174799581737,238.0,161.01171549479167,144.63559322033899,434.0,16.0,175.42228372811536,164.8433469850122,238.0,167.5183854166667,147.4820143884892,csail03-08-15_0/,186
0,520.0,16.0,94.11604016477858,86.40339839665388,239.0,88.35365234375,86.343986543313704,520.0,16.0,95.56992790937178,98.84316835134193,238.0,98.01548177083333,95.571314741035863,csail03-08-15_0/,133
0,196.0,16.0,204.16824150360455,193.31443011502265,235.0,196.058974609375,171.20670391061452,185.0,16.0,204.4271498455201,197.75177326594633,231.0,199.43973958333333,174.96969696969697,csail03-08-15_0/,63
