Num,Shutter 0,Gain 0,Mean Foreground Illumination 0,Mean BackGround Illumination 0,Contrast 0,Mean 0,Feature Luminance 0,Blur Luminance 0,Shutter 1,Gain 1,Mean Foreground Illumination 1,Mean BackGround Illumination 1,Contrast 1,Mean 1,Feature Luminance 1,Blur Luminance 1,FileLocation,NumMatches
18,520,16,94.1160401648,86.4033983967,239,88.3536523438,86.3439865433,85.7106812447,520,16,95.5699279094,98.8431683513,238,98.0154817708,95.571314741,95.7577689243,csail03-08-15_0/,133
19,196,16,204.1682415036,193.314430115,235,196.0589746094,171.2067039106,171.6400638468,185,16,204.4271498455,197.7517732659,231,199.4397395833,174.9696969697,174.7462121212,csail03-08-15_0/,63
20,444,16,156.3169026777,149.340127222,233,151.1043066406,150.1248266297,149.4639389736,444,16,148.8676364573,159.0582476473,234,156.4814029948,156.6454183267,156.3539176627,csail03-08-15_0/,625
21,520,16,108.1701725026,115.1124172185,243,113.356969401,97.2975708502,96.7591093117,466,16,118.1242147271,123.0347943534,242,121.7930826823,105.7144340602,105.2949117342,csail03-08-15_0/,106
22,520,16,94.799291967,100.1523004531,236,98.7987141927,95.6115802171,95.9215922799,509,16,84.4751416066,93.2117680376,236,91.0025846354,99.2881773399,98.5591133005,csail03-08-15_0/,240
23,499,16,144.4076210093,124.6785508888,237,129.6673339844,144.3893967093,144.4460694698,23,16,22.6592044284,18.3629226211,247,19.4493001302,53.2106918239,52.1352201258,csail03-08-15_0/,112
24,520,16,98.0943743563,47.286907459,235,60.1343164063,103.5772357724,103.0048780488,477,16,70.1850798146,45.8862452074,229,52.0305598958,104.5246153846,106.7646153846,2015-02-22TNQ_1/,84
25,520,16,98.0943743563,47.286907459,235,60.1343164063,103.5772357724,103.0048780488,477,16,76.1272785788,46.9546575462,228,54.3313802083,112.6838905775,113.3328267477,2015-02-22TNQ_1/,82
26,531,16,94.5033728115,54.6128180551,241,64.6997265625,109.1633587786,110.2854961832,250,16,71.0680484037,45.2402405019,232,51.7711783854,114.5819521179,117.7955801105,2015-02-22TNQ_0/,108
27,531,16,94.5033728115,54.6128180551,241,64.6997265625,109.1633587786,110.2854961832,455,16,75.5175720906,48.2795573371,231,55.1670865885,118.9708404803,121.8147512865,2015-02-22TNQ_0/,110
28,531,16,94.5033728115,54.6128180551,241,64.6997265625,109.1633587786,110.2854961832,488,16,71.3909629248,45.8390379923,230,52.3002148438,114.3617810761,117.3617810761,2015-02-22TNQ_0/,107
29,531,16,94.5033728115,54.6128180551,241,64.6997265625,109.1633587786,110.2854961832,477,16,48.9242404737,32.9625697107,186,36.9987109375,85.3475479744,85.7142857143,2015-02-22TNQ_0/,95
30,531,16,94.5033728115,54.6128180551,241,64.6997265625,109.1633587786,110.2854961832,488,16,31.7988542739,22.8059994772,119,25.0799739583,54.8457831325,54.3301204819,2015-02-22TNQ_0/,77
31,531,16,94.5033728115,54.6128180551,241,64.6997265625,109.1633587786,110.2854961832,499,16,79.2796086509,46.2826551063,236,54.6264160156,103.8333333333,106.5502645503,2015-02-22TNQ_0/,111
32,531,16,94.5033728115,54.6128180551,241,64.6997265625,109.1633587786,110.2854961832,520,16,54.7554582904,30.4654539909,234,36.6075358073,95.0327552987,98.1175337187,2015-02-22TNQ_0/,120
33,499,16,99.9293511843,91.7449285465,245,93.8144791667,104.268861454,105.3278463649,520,16,104.1275875386,110.5092758801,245,108.8955729167,110.7116991643,112.7980501393,csail03-08-15_0/,186
34,488,16,66.1354788877,68.843076856,241,68.158421224,78.9371428571,79.6714285714,120,16,23.3269438723,26.5917131405,246,25.7661686198,54.2631578947,53.037593985,csail03-08-15_0/,26
35,499,16,106.9489057673,94.4969196584,243,97.6455859375,117.4005912786,119.2498152254,466,16,91.8541709578,73.5257929592,243,78.160390625,113.8063439065,115.6552587646,csail03-08-15_0/,289
36,499,16,102.4198249228,146.1873082956,241,135.120061849,145.014354067,145.6076555024,77,16,27.5151647786,33.8238541304,211,32.228610026,70.9894366197,67.7676056338,csail03-08-15_0/,106
37,261,16,175.2444258496,182.1888157895,237,180.4328255208,151.3238405207,149.2180634662,239,16,134.3385169928,173.0863541304,239,163.2883984375,140.0372534697,138.6581446311,csail03-08-15_0/,333
38,455,16,108.1787590113,135.359977344,222,128.4868098958,148.2629198966,148.65374677,466,16,132.343061277,156.1768211921,221,150.1501074219,157.7992021277,159.1276595745,csail03-08-15_0/,174
39,217,16,176.34373069,165.2008670268,208,168.0185026042,148.6138059702,157.4577114428,12,16,18.0404479918,21.2416521436,50,20.4321809896,31.7113402062,29.8453608247,csail03-08-15_0/,155
40,174,16,156.0676364573,169.6306988498,230,166.2010807292,186.1180781759,184.0936482085,174,16,173.4059989701,177.131382886,228,176.1893652344,190.7626137304,189.1215880893,csail03-08-15_0/,166
41,434,16,190.7692327497,140.7818360056,238,153.4218782552,153.3202247191,157.1471910112,412,16,181.5592559217,142.7106918787,237,152.5341178385,154.0778210117,159.8540856031,csail03-08-15_0/,122
42,499,16,121.2908728115,145.5777012896,240,139.436422526,166.393957346,162.8963270142,509,16,92.3776905252,135.2000784245,241,124.371813151,145.4170886076,142.7164556962,csail03-08-15_0/,113
43,55,16,165.640023172,131.3648178808,230,140.0318033854,158.724005891,158.7846833579,55,16,110.0713825953,104.2459001394,236,105.7189583333,152.4815340909,151.7840909091,csail03-08-15_0/,283
44,336,16,178.769361483,160.8110752876,232,165.3520898438,171.9406037001,172.458617332,380,16,191.71876931,172.6925017428,224,177.5035709635,190.6231759657,189.2532188841,csail03-08-15_0/,91
45,499,16,127.3842687951,111.3590013942,242,115.4112239583,141.5121806298,141.4515745692,466,16,159.2633110196,130.9769606135,236,138.1295768229,156.0917671736,155.2789722077,csail03-08-15_0/,191
46,520,16,123.692469104,177.7448762635,242,164.076936849,153.5747289015,153.9924563885,499,16,140.1714984552,181.1496906588,240,170.7877571615,160.449096099,160.0057088487,csail03-08-15_0/,547
47,499,16,105.7676622039,104.9175932381,242,105.1325455729,104.5754545455,104.3,477,16,94.6752059732,115.669205298,243,110.3605664063,114.9975767367,114.6017770598,csail03-08-15_0/,247
48,423,16,158.3420056643,156.1692183688,241,156.7186393229,149.2150089339,150.3835616438,444,16,172.2422760041,144.1388506448,244,151.2452115885,142.3850649351,143.6064935065,csail03-08-15_0/,509
49,207,16,187.0381951596,164.3616852562,232,170.0957714844,149.6158338741,148.9500324465,217,16,181.3415808445,158.2688785291,231,164.1031477865,143.6319742489,144.2322961373,csail03-08-15_0/,411
50,520,16,177.2778578785,177.2867418961,236,177.2844954427,149.5231539424,150.4530663329,488,16,188.0016349125,175.2458957825,238,178.4713704427,155.0023752969,155.6781472684,csail03-08-15_0/,193
51,499,16,91.086907827,83.6516207738,240,85.5317415365,84.2880143113,83.9776386404,499,16,92.3973738414,95.7288863716,238,94.8864648438,93.433227345,93.7114467409,csail03-08-15_0/,120
52,174,16,193.0606204943,182.1252788428,237,184.8904394531,162.7074939565,162.6422240129,163,16,196.3897528321,186.9219806553,232,189.3160449219,163.9399267399,164.8468864469,csail03-08-15_0/,69
53,477,16,163.8829428424,156.8082520042,232,158.5971907552,154.4595924104,154.2529866479,444,16,148.8676364573,159.0582476473,234,156.4814029948,156.6454183267,156.3539176627,csail03-08-15_0/,588
54,509,16,106.5431642636,113.8018386197,243,111.9663769531,96.5236625514,95.962962963,444,16,114.1215113285,119.6152405019,242,118.2260709635,103.5675965665,103.2821888412,csail03-08-15_0/,114
55,499,16,91.635569001,96.695974207,236,95.4163769531,92.8314321926,93.2902408112,520,16,85.9085092688,94.7191660857,236,92.4912630208,100.2813238771,99.6264775414,csail03-08-15_0/,259
56,434,16,136.9110968074,116.3658983967,238,121.5610514323,138.4047838086,139.2842686293,412,16,147.2860195675,100.0635805159,239,112.0044628906,134.1870748299,136.089569161,csail03-08-15_0/,109
57,434,16,85.5324794027,42.0973684211,230,53.0805696615,94.8569051581,93.7287853577,455,16,67.6236869207,44.3754487626,229,50.2541048177,102.0200927357,102.6120556414,2015-02-22TNQ_1/,90
58,434,16,85.5324794027,42.0973684211,230,53.0805696615,94.8569051581,93.7287853577,423,16,69.6291194645,43.6827640293,227,50.2436783854,106.2388973966,106.0750382848,2015-02-22TNQ_1/,88
59,520,16,93.6927780639,54.0406892646,241,64.0672981771,109.4875776398,110.5434782609,228,16,65.2871395469,41.9890336354,230,47.8802994792,106.4868913858,109.5805243446,2015-02-22TNQ_0/,107
60,520,16,93.6927780639,54.0406892646,241,64.0672981771,109.4875776398,110.5434782609,455,16,75.5175720906,48.2795573371,231,55.1670865885,118.9708404803,121.8147512865,2015-02-22TNQ_0/,105
61,520,16,93.6927780639,54.0406892646,241,64.0672981771,109.4875776398,110.5434782609,477,16,69.3877832132,44.6386589404,229,50.8968359375,110.2635514019,113.6822429907,2015-02-22TNQ_0/,101
62,520,16,93.6927780639,54.0406892646,241,64.0672981771,109.4875776398,110.5434782609,509,16,51.3954042225,34.3669614848,194,38.6728515625,87.9012605042,89.5294117647,2015-02-22TNQ_0/,96
63,520,16,93.6927780639,54.0406892646,241,64.0672981771,109.4875776398,110.5434782609,434,16,29.1101184346,21.1171619031,104,23.138297526,50.1307506053,49.4648910412,2015-02-22TNQ_0/,75
64,520,16,93.6927780639,54.0406892646,241,64.0672981771,109.4875776398,110.5434782609,499,16,79.2796086509,46.2826551063,236,54.6264160156,103.8333333333,106.5502645503,2015-02-22TNQ_0/,111
65,520,16,93.6927780639,54.0406892646,241,64.0672981771,109.4875776398,110.5434782609,499,16,55.0581745623,31.4972551412,233,37.4549772135,96.1733067729,98.6474103586,2015-02-22TNQ_0/,110
66,488,16,97.9116889804,90.3465885326,246,92.2595345052,101.6746478873,102.3802816901,466,16,94.2632337796,103.259493726,245,100.9846582031,106.2976377953,107.2960629921,csail03-08-15_0/,184
67,477,16,64.8385813594,67.5116504008,242,66.8357259115,76.6646706587,76.8083832335,55,16,15.0711251287,16.6312696061,236,16.2367643229,34.6851851852,36.037037037,csail03-08-15_0/,24
68,466,16,101.1991374871,90.2631927501,244,93.0285058594,112.9801829268,114.6257621951,401,16,82.0978372812,65.7784681074,244,69.9050585938,105.8513513514,107.563963964,csail03-08-15_0/,262
69,477,16,98.7369207003,142.1571671314,242,131.1777246094,139.8118081181,141.3013530135,23,16,14.2911560247,16.1788863716,67,15.701546224,38.7866666667,34.08,csail03-08-15_0/,101
70,217,16,160.4991632338,169.6823283374,240,167.3602311198,139.5449251248,138.5257903494,207,16,121.9104145211,162.4672272569,240,152.2118457031,133.9722222222,132.3310185185,csail03-08-15_0/,356
71,423,16,102.7363414006,129.6707650749,224,122.8600032552,145.3581584292,145.8314150305,434,16,125.1844104016,150.0581300105,224,143.7684472656,158.6955801105,158.7674033149,csail03-08-15_0/,156
72,261,16,199.1646112255,183.5740109794,201,187.5163216146,168.2770780856,175.6838790932,12,16,18.0404479918,21.2416521436,50,20.4321809896,31.7113402062,29.8453608247,csail03-08-15_0/,151
73,163,16,149.0172502575,163.5344196584,231,159.8635416667,179.594214876,178.2644628099,174,16,173.4059989701,177.131382886,228,176.1893652344,190.7626137304,189.1215880893,csail03-08-15_0/,162
74,380,16,174.3415164779,127.4460526316,239,139.3042545573,142.3675310034,145.9977452086,347,16,160.6225411946,125.9240153364,239,134.6980436198,138.5206364993,144.0034808553,csail03-08-15_0/,124
75,477,16,117.683676622,142.7811955385,241,136.434921875,162.9049611476,158.8481769277,455,16,84.6171730175,128.0330646567,242,117.0547233073,137.9388961892,136.2779237845,csail03-08-15_0/,120
76,88,16,217.8020983522,178.8352649007,218,188.6885970052,207.6950080515,206.06215781,455,16,245.8968717817,240.52816748,151,241.8857226563,210.1257861635,210.1886792453,csail03-08-15_0/,573
77,271,16,157.1284757981,140.8871993726,235,144.9940429688,157.7239685658,159.3025540275,271,16,159.4519824923,141.9231265249,230,146.3555533854,176.1162601626,173.5195121951,csail03-08-15_0/,93
78,466,16,121.4696961895,107.3297621122,242,110.905250651,140.4694002448,140.311505508,488,16,162.9463182286,133.999677588,235,141.3192578125,155.9421136484,155.2814657462,csail03-08-15_0/,185
79,509,16,121.6934088568,175.6168569188,241,161.9815266927,151.7271867612,151.8765957447,499,16,140.1714984552,181.1496906588,240,170.7877571615,160.449096099,160.0057088487,csail03-08-15_0/,556
80,488,16,103.6350411946,102.9831082259,242,103.1479589844,102.4547152194,102.0718954248,477,16,94.6752059732,115.669205298,243,110.3605664063,114.9975767367,114.6017770598,csail03-08-15_0/,226
81,444,16,162.6912718847,161.1457432903,242,161.5365527344,151.9009546539,152.88424821,434,16,170.5328656025,141.8849555594,244,149.1289973958,140.8940870695,142.4223521767,csail03-08-15_0/,513
82,250,16,205.589315139,180.3821802022,229,186.756171875,159.477602108,159.0974967062,239,16,190.5118563337,166.2414822238,230,172.3786002604,148.7323420074,149.4811471057,csail03-08-15_0/,381
83,423,16,161.1159243048,154.3742767515,238,156.079000651,140.4113207547,140.9396226415,434,16,175.4222837281,164.843346985,238,167.5183854167,147.4820143885,148.7458033573,csail03-08-15_0/,177
84,477,16,87.9265962925,80.7900880098,240,82.5946582031,83.3214285714,82.6181318681,520,16,95.5699279094,98.8431683513,238,98.0154817708,95.571314741,95.7577689243,csail03-08-15_0/,107
85,228,16,217.0586894954,207.4160465319,233,209.8543294271,184.1253071253,184.5479115479,250,16,221.7858650875,221.9763288602,225,221.9281673177,199.5139475909,199.2510566357,csail03-08-15_0/,52
86,488,16,166.4086380021,158.9055942837,232,160.8028483073,157.1011315417,156.6966053748,466,16,153.5619721936,164.5870033113,233,161.7991634115,160.2689020381,159.6614069691,csail03-08-15_0/,605
87,477,16,101.5746910402,109.2083914256,243,107.2780989583,91.9349422875,91.5257082896,444,16,114.1215113285,119.6152405019,242,118.2260709635,103.5675965665,103.2821888412,csail03-08-15_0/,115
88,466,16,86.8788362513,91.345760718,234,90.216233724,91.346911958,91.3272010512,466,16,78.635054068,87.1060430464,237,84.9640299479,95.3238095238,94.8911564626,csail03-08-15_0/,239
89,455,16,139.3620623069,119.0675627396,238,124.1993229167,140.2576177285,140.6897506925,23,16,22.6592044284,18.3629226211,247,19.4493001302,53.2106918239,52.1352201258,csail03-08-15_0/,95
90,499,16,94.7515190525,46.2738672011,231,58.5321484375,104.9983277592,103.0752508361,520,16,74.273146241,48.6437870338,230,55.1245442708,108.9209302326,110.9054263566,2015-02-22TNQ_1/,77
91,499,16,94.7515190525,46.2738672011,231,58.5321484375,104.9983277592,103.0752508361,466,16,74.994953656,46.345438306,228,53.5898860677,112.6211656442,112.9049079755,2015-02-22TNQ_1/,84
92,444,16,85.29996138,47.7053851516,243,57.2117220052,101.7017268446,102.7456828885,228,16,65.2871395469,41.9890336354,230,47.8802994792,106.4868913858,109.5805243446,2015-02-22TNQ_0/,108
93,444,16,85.29996138,47.7053851516,243,57.2117220052,101.7017268446,102.7456828885,304,16,64.9029351184,41.8890989892,229,47.7084830729,106.260952381,109.3752380952,2015-02-22TNQ_0/,105
94,444,16,85.29996138,47.7053851516,243,57.2117220052,101.7017268446,102.7456828885,315,16,49.5719104016,33.1634062391,194,37.3125358073,83.9873150106,86.1035940803,2015-02-22TNQ_0/,102
95,444,16,85.29996138,47.7053851516,243,57.2117220052,101.7017268446,102.7456828885,477,16,48.9242404737,32.9625697107,186,36.9987109375,85.3475479744,85.7142857143,2015-02-22TNQ_0/,99
96,444,16,85.29996138,47.7053851516,243,57.2117220052,101.7017268446,102.7456828885,380,16,26.4023300721,19.4156151969,92,21.1823079427,44.3316831683,44.1757425743,2015-02-22TNQ_0/,83
97,444,16,85.29996138,47.7053851516,243,57.2117220052,101.7017268446,102.7456828885,499,16,79.2796086509,46.2826551063,236,54.6264160156,103.8333333333,106.5502645503,2015-02-22TNQ_0/,111
98,444,16,85.29996138,47.7053851516,243,57.2117220052,101.7017268446,102.7456828885,434,16,50.6786946447,29.9450418264,229,35.1878483073,90.24750499,92.129740519,2015-02-22TNQ_0/,117
