,Unnamed: 0,Shutter 0,Gain 0,Mean Foreground Illumination 0,Mean BackGround Illumination 0,Contrast 0,Mean 0,Feature Luminance 0,Blur Luminance 0,Shutter 1,Gain 1,Mean Foreground Illumination 1,Mean BackGround Illumination 1,Contrast 1,Mean 1,Feature Luminance 1,Blur Luminance 1,FileLocation,NumMatches,Exposure 0,Exposure 1
0,0,520.0,16.0,103.72135684860001,94.365985535,245.0,96.7316276042,106.7624671916,107.6272965879,466.0,16.0,94.26323377959999,103.259493726,245.0,100.9846582031,106.2976377953,107.29606299209999,csail03-08-15_0/,199,520.0,466.0
1,0,520.0,16.0,69.9383367662,72.672799756,241.0,71.9813509115,82.7890410959,83.2164383562,120.0,16.0,23.3269438723,26.5917131405,246.0,25.766168619800002,54.2631578947,53.037593985,csail03-08-15_0/,27,520.0,120.0
2,0,520.0,16.0,110.1797888774,96.9516294876,243.0,100.2965625,120.49448934610001,122.3438648053,488.0,16.0,95.3251029866,76.2034942489,243.0,81.038671875,116.7746938776,118.58040816329999,csail03-08-15_0/,269,520.0,488.0
3,0,509.0,16.0,104.00059217299999,147.9495555943,241.0,136.8364192708,145.8191489362,146.4574468085,77.0,16.0,27.515164778600003,33.8238541304,211.0,32.228610026,70.9894366197,67.7676056338,csail03-08-15_0/,96,509.0,77.0
4,0,239.0,16.0,168.3398043254,176.3430507145,239.0,174.319313151,146.5549273021,144.8142164782,250.0,16.0,138.23536302780002,176.3963881143,239.0,166.74681640629998,144.0791001451,142.1777939042,csail03-08-15_0/,363,239.0,250.0
5,0,509.0,16.0,140.8049433574,137.3582912165,232.0,138.229827474,142.145982498,140.90294351629998,509.0,16.0,138.8527677652,137.7329208784,223.0,138.01609049479998,139.3426237386,137.801057184,csail03-08-15_0/,471,509.0,509.0
6,0,250.0,16.0,194.6186663234,179.32452509590001,203.0,183.19187174479998,164.65044510389998,172.2077151335,33.0,16.0,33.825708033000005,42.257968804499995,125.0,40.1257486979,52.522058823500004,50.5,csail03-08-15_0/,172,250.0,33.0
7,0,185.0,16.0,162.7651905252,175.08626699200002,228.0,171.970703125,187.5868694956,186.3418734988,196.0,16.0,185.1456101957,186.3283591844,225.0,186.02928385419997,197.36294416240003,195.8003384095,csail03-08-15_0/,150,185.0,196.0
8,0,466.0,16.0,198.9223352214,148.3998082956,237.0,161.17516601559998,162.1954469739,165.28039977790002,23.0,16.0,19.3839212152,18.0477561868,203.0,18.385625,38.7608695652,32.5434782609,csail03-08-15_0/,116,466.0,23.0
9,0,466.0,16.0,115.87914521110001,141.3579557337,241.0,134.9152669271,163.7382352941,160.0611764706,477.0,16.0,87.76016992790001,131.0119945974,241.0,120.075139974,138.4599101988,137.05067350870002,csail03-08-15_0/,110,466.0,477.0
10,0,66.0,16.0,187.6669284243,150.49061084,225.0,159.8911848958,181.2262585812,179.98283752860002,66.0,16.0,128.3722966014,119.66217758799999,234.0,121.86465820309999,174.5996409336,172.43222621189997,csail03-08-15_0/,291,66.0,66.0
11,0,304.0,16.0,168.90242018540002,151.5072150575,233.0,155.9058463542,168.232177264,168.3622350674,282.0,16.0,163.4063465499,145.5695538515,230.0,150.0798470052,178.4954806902,175.88742810189999,csail03-08-15_0/,99,304.0,282.0
12,0,520.0,16.0,131.0250643666,113.81573719069999,242.0,118.1673665365,143.5279576221,143.6633313714,499.0,16.0,164.73265962920001,135.4840841757,235.0,142.8800130208,156.4695378151,155.7983193277,csail03-08-15_0/,199,520.0,499.0
13,0,466.0,16.0,114.0019824923,166.74898048100002,242.0,153.4111328125,143.6771028037,144.6495327103,423.0,16.0,124.96189495370001,164.30759846639998,241.0,154.3584635417,148.0080606923,147.8202939782,csail03-08-15_0/,552,466.0,423.0
14,0,520.0,16.0,109.7898944387,108.5753267689,242.0,108.8824479167,106.0666666667,106.3537777778,477.0,16.0,94.6752059732,115.669205298,243.0,110.3605664063,114.9975767367,114.6017770598,csail03-08-15_0/,236,520.0,477.0
15,0,390.0,16.0,151.0114315139,147.8831648658,242.0,148.6741927083,142.9182352941,143.9723529412,380.0,16.0,160.2794026777,128.9775880098,244.0,136.8927083333,132.32539682540002,133.960978836,csail03-08-15_0/,513,390.0,380.0
16,0,228.0,16.0,197.72740731209998,173.15321976299998,231.0,179.36716145830002,158.46363061350002,157.1644528779,217.0,16.0,181.34158084450002,158.2688785291,231.0,164.1031477865,143.6319742489,144.23229613729998,csail03-08-15_0/,422,228.0,217.0
17,0,444.0,16.0,164.9118048404,159.6917479958,238.0,161.0117154948,144.6355932203,145.4007263923,434.0,16.0,175.4222837281,164.843346985,238.0,167.5183854167,147.4820143885,148.7458033573,csail03-08-15_0/,186,444.0,434.0
18,0,520.0,16.0,94.1160401648,86.4033983967,239.0,88.3536523438,86.3439865433,85.7106812447,520.0,16.0,95.56992790940001,98.8431683513,238.0,98.0154817708,95.57131474100001,95.75776892430001,csail03-08-15_0/,133,520.0,520.0
19,0,196.0,16.0,204.1682415036,193.314430115,235.0,196.0589746094,171.2067039106,171.6400638468,185.0,16.0,204.4271498455,197.7517732659,231.0,199.43973958330002,174.9696969697,174.7462121212,csail03-08-15_0/,63,196.0,185.0
20,0,444.0,16.0,156.3169026777,149.340127222,233.0,151.1043066406,150.12482662969998,149.4639389736,444.0,16.0,148.8676364573,159.0582476473,234.0,156.4814029948,156.6454183267,156.3539176627,csail03-08-15_0/,625,444.0,444.0
21,0,520.0,16.0,108.1701725026,115.1124172185,243.0,113.356969401,97.2975708502,96.7591093117,466.0,16.0,118.1242147271,123.0347943534,242.0,121.7930826823,105.7144340602,105.2949117342,csail03-08-15_0/,106,520.0,466.0
22,0,520.0,16.0,94.799291967,100.1523004531,236.0,98.7987141927,95.61158021709998,95.9215922799,509.0,16.0,84.4751416066,93.2117680376,236.0,91.00258463540001,99.2881773399,98.55911330049999,csail03-08-15_0/,240,520.0,509.0
23,0,499.0,16.0,144.40762100930002,124.67855088879999,237.0,129.66733398440002,144.3893967093,144.4460694698,23.0,16.0,22.659204428400002,18.362922621099997,247.0,19.4493001302,53.21069182390001,52.1352201258,csail03-08-15_0/,112,499.0,23.0
