Frame,Timestamp,Run Number,Baseline,Experimental Mean Luminance,Shutter 0,Gain 0,Shutter 1,Gain 1,Image File 0,Image File 1,Succesfully Tracked Features 0,Succesfully Tracked Features 1
0,2015-04-12 17:29:38.612994816,0,0,117.0529720052,15,16,153,16,stata2015-04-12_0_0000.png,stata2015-04-12_1_0000.png,0,1046
1,2015-04-12 17:29:39.082786048,0,0,146.2292089844,158,16,217,16,stata2015-04-12_0_0001.png,stata2015-04-12_1_0001.png,0,668
2,2015-04-12 17:29:39.553474816,0,0,172.8175195313,158,16,296,16,stata2015-04-12_0_0002.png,stata2015-04-12_1_0002.png,792,628
3,2015-04-12 17:29:40.014898944,0,0,182.3820605469,158,16,333,16,stata2015-04-12_0_0003.png,stata2015-04-12_1_0003.png,752,185
4,2015-04-12 17:29:40.485003008,0,0,169.854593099,160,16,342,16,stata2015-04-12_0_0004.png,stata2015-04-12_1_0004.png,414,349
5,2015-04-12 17:29:40.947123968,0,0,150.3462434896,167,16,308,16,stata2015-04-12_0_0005.png,stata2015-04-12_1_0005.png,394,188
6,2015-04-12 17:29:41.410594816,0,0,131.9252799479,171,16,295,16,stata2015-04-12_0_0006.png,stata2015-04-12_1_0006.png,453,583
7,2015-04-12 17:29:41.878945024,0,0,127.9074283854,176,16,275,16,stata2015-04-12_0_0007.png,stata2015-04-12_1_0007.png,463,523
8,2015-04-12 17:29:42.347809024,0,0,129.0032779948,188,16,305,16,stata2015-04-12_0_0008.png,stata2015-04-12_1_0008.png,457,683
9,2015-04-12 17:29:42.809209088,0,0,128.232203776,191,16,305,16,stata2015-04-12_0_0009.png,stata2015-04-12_1_0009.png,456,752
10,2015-04-12 17:29:43.278105088,0,0,138.3793391927,174,16,320,16,stata2015-04-12_0_0010.png,stata2015-04-12_1_0010.png,454,635
11,2015-04-12 17:29:43.750209024,0,0,151.9212402344,168,16,350,16,stata2015-04-12_0_0011.png,stata2015-04-12_1_0011.png,399,522
12,2015-04-12 17:29:44.217523200,0,0,160.1214778646,159,16,369,16,stata2015-04-12_0_0012.png,stata2015-04-12_1_0012.png,406,629
13,2015-04-12 17:29:44.684428032,0,0,163.1530924479,148,16,376,16,stata2015-04-12_0_0013.png,stata2015-04-12_1_0013.png,382,512
14,2015-04-12 17:29:45.149723136,0,0,163.6840071615,155,16,375,16,stata2015-04-12_0_0014.png,stata2015-04-12_1_0014.png,383,497
15,2015-04-12 17:29:45.615677184,0,0,169.4282063802,149,16,373,16,stata2015-04-12_0_0015.png,stata2015-04-12_1_0015.png,407,538
16,2015-04-12 17:29:46.079478016,0,0,178.435172526,118,16,386,16,stata2015-04-12_0_0016.png,stata2015-04-12_1_0016.png,211,544
17,2015-04-12 17:29:46.547635200,0,0,187.5873144531,106,16,394,16,stata2015-04-12_0_0017.png,stata2015-04-12_1_0017.png,311,576
18,2015-04-12 17:29:47.011076096,0,0,197.8677994792,96,16,403,16,stata2015-04-12_0_0018.png,stata2015-04-12_1_0018.png,325,480
19,2015-04-12 17:29:47.479607040,0,0,206.388125,90,16,412,16,stata2015-04-12_0_0019.png,stata2015-04-12_1_0019.png,345,362
20,2015-04-12 17:29:47.940834048,0,0,213.6716015625,88,16,413,16,stata2015-04-12_0_0020.png,stata2015-04-12_1_0020.png,278,397
21,2015-04-12 17:29:48.406810880,0,0,217.1005338542,86,16,416,16,stata2015-04-12_0_0021.png,stata2015-04-12_1_0021.png,378,358
22,2015-04-12 17:29:48.875055104,0,0,220.3544466146,84,16,406,16,stata2015-04-12_0_0022.png,stata2015-04-12_1_0022.png,343,334
23,2015-04-12 17:29:49.341037056,0,0,224.2025390625,82,16,408,16,stata2015-04-12_0_0023.png,stata2015-04-12_1_0023.png,370,286
24,2015-04-12 17:29:49.812141824,0,0,224.566110026,82,16,402,16,stata2015-04-12_0_0024.png,stata2015-04-12_1_0024.png,324,276
25,2015-04-12 17:29:50.272706048,0,0,225.2916731771,86,16,394,16,stata2015-04-12_0_0025.png,stata2015-04-12_1_0025.png,316,231
26,2015-04-12 17:29:50.744080896,0,0,228.4119466146,90,16,391,16,stata2015-04-12_0_0026.png,stata2015-04-12_1_0026.png,273,221
