Frame,Timestamp,Run Number,Baseline,Experimental Mean Luminance,Shutter 0,Gain 0,Shutter 1,Gain 1,Image File 0,Image File 1,Experimental Method,Succesfully Tracked Features 1,Succesfully Tracked Features 0,STF Baseline,STF Experiment,Exposure Baseline,Exposure Experiment,Contrast,Mean Lum,FG Illum,BG Illum,Blur Lum,Exposure Sigma,Exposure Pred
15,2015-04-18 20:45:45.801068032,0.0,0.0,109.13369466145834,181.0,16.0,405.0,16.0,bldg33_2015-04-18_0_0015.png,bldg33_2015-04-18_1_0015.png,GP,418.0,502.0,502.0,418.0,181.0,405.0,243.0,109.13369466145834,132.54747682801235,101.2094065876612,138.46055597295268,28.438192413779404,402.45363603328224
16,2015-04-18 20:45:46.643843840,0.0,0.0,114.69993489583334,167.0,16.0,401.0,16.0,bldg33_2015-04-18_0_0016.png,bldg33_2015-04-18_1_0016.png,GP,397.0,426.0,426.0,397.0,167.0,401.0,241.0,114.69993489583334,129.941464984552,109.54150836528407,146.6822660098522,26.706811464900497,409.86789570929545
17,2015-04-18 20:45:47.489181952,0.0,0.0,114.05008138020834,158.0,16.0,410.0,16.0,bldg33_2015-04-18_0_0017.png,bldg33_2015-04-18_1_0017.png,GP,350.0,370.0,370.0,350.0,158.0,410.0,241.0,114.05008138020834,126.26421215242019,109.916264377832,141.44896449704143,25.93924268709659,404.09261856733576
18,2015-04-18 20:45:48.334497024,0.0,0.0,116.94951822916669,158.0,16.0,404.0,16.0,bldg33_2015-04-18_0_0018.png,bldg33_2015-04-18_1_0018.png,GP,486.0,375.0,375.0,486.0,158.0,404.0,240.0,116.94951822916667,134.82860453141092,110.89842279539909,144.29471397538015,25.463812912330518,412.9457725839477
19,2015-04-18 20:45:49.179936768,0.0,0.0,116.24186197916669,139.0,16.0,412.0,16.0,bldg33_2015-04-18_0_0019.png,bldg33_2015-04-18_1_0019.png,GP,337.0,405.0,405.0,337.0,139.0,412.0,240.0,116.24186197916667,130.58371524201854,111.38792697804112,136.59313077939234,25.31746769435809,404.8243130233262
20,2015-04-18 20:45:49.932470016,0.0,0.0,120.43296549479167,128.0,16.0,405.0,16.0,bldg33_2015-04-18_0_0020.png,bldg33_2015-04-18_1_0020.png,GP,294.0,347.0,347.0,294.0,128.0,405.0,239.0,120.43296549479167,135.9833805355304,115.16999825723248,142.50428682774748,24.787271008810215,415.7293285833324
21,2015-04-18 20:45:50.728986880,0.0,0.0,122.12384765625,86.0,16.0,415.0,16.0,bldg33_2015-04-18_0_0021.png,bldg33_2015-04-18_1_0021.png,GP,264.0,321.0,321.0,264.0,86.0,415.0,238.0,122.12384765625,139.00926879505664,116.40905367723946,136.40013271400133,24.804547065787876,405.90369905047334
22,2015-04-18 20:45:51.466747136,0.0,0.0,130.13240234375002,88.0,16.0,405.0,16.0,bldg33_2015-04-18_0_0022.png,bldg33_2015-04-18_1_0022.png,GP,250.0,326.0,326.0,250.0,88.0,405.0,238.0,130.13240234375002,150.25223995880535,123.32293482049494,141.4738955823293,24.66250589263171,410.8906691226505
23,2015-04-18 20:45:52.258102784,0.0,0.0,127.54947265625,67.0,16.0,410.0,16.0,bldg33_2015-04-18_0_0023.png,bldg33_2015-04-18_1_0023.png,GP,171.0,203.0,203.0,171.0,67.0,410.0,238.0,127.54947265625,141.83325180226572,122.71519257581038,144.4972299168975,24.49646240467367,396.76953569151743
24,2015-04-18 20:45:53.052471040,0.0,0.0,121.60874348958336,54.0,16.0,397.0,16.0,bldg33_2015-04-18_0_0024.png,bldg33_2015-04-18_1_0024.png,GP,433.0,268.0,268.0,433.0,54.0,397.0,238.0,121.60874348958335,131.05554840370752,118.41151533635413,140.1170282708744,24.38652841097908,400.979415557282
